Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
Atomik_rl,252.0,20.3,1205.0,5100.0,17037,910.0,28600.0,0.0,https://twitchtracker.com/atomik_rl
Bartmaxhd,101.0,135.8,390.0,13800.0,17038,496.0,871.0,0.0,https://twitchtracker.com/bartmaxhd
Anna_chess,310.0,5.8,19570.0,1800.0,17050,-15.0,280000.0,34000000.0,https://twitchtracker.com/anna_chess
Tirolocoo,182.0,49.9,1174.0,9100.0,17070,1000.0,81100.0,0.0,https://twitchtracker.com/tirolocoo
Quahoggiigiri,68.0,228.7,256.0,15600.0,17073,-101.0,0.0,0.0,https://twitchtracker.com/quahoggiigiri
51mp50n5,148.0,74.5,2140.0,11000.0,17093,146.0,6300.0,0.0,https://twitchtracker.com/51mp50n5
Denniscyan,57.0,286.3,7009.0,16200.0,17096,64.0,43000.0,813000.0,https://twitchtracker.com/denniscyan
Eljerryenvivo,224.0,29.6,2096.0,6600.0,17104,-273.0,16000.0,0.0,https://twitchtracker.com/eljerryenvivo
Animeop02,63.0,252.0,112.0,15800.0,17160,126.0,2400.0,0.0,https://twitchtracker.com/animeop02
Giftschlangen,230.0,26.8,1414.0,6200.0,17189,63.0,26700.0,0.0,https://twitchtracker.com/giftschlangen
Wolfwason,300.0,7.1,1517.0,2100.0,17202,2500.0,2600.0,0.0,https://twitchtracker.com/wolfwason
Homerosimpson02,101.0,134.1,793.0,13500.0,17219,498.0,570.0,0.0,https://twitchtracker.com/homerosimpson02
Nobukoto,170.0,55.9,510.0,9500.0,17248,54.0,6400.0,0.0,https://twitchtracker.com/nobukoto
Juan1nn,289.0,9.3,2492.0,2700.0,17250,-2.0,3300.0,0.0,https://twitchtracker.com/juan1nn
Leaosg,245.0,21.3,5111.0,5200.0,17252,341.0,310000.0,645000.0,https://twitchtracker.com/leaosg
Mordongmx,285.0,10.2,1419.0,2900.0,17264,26.0,30400.0,0.0,https://twitchtracker.com/mordongmx
Jueggingtv,307.0,5.4,2492.0,1600.0,17268,54.0,2200.0,0.0,https://twitchtracker.com/jueggingtv
Tftmercenaryplayer_,85.0,169.0,578.0,14400.0,17274,325.0,1900.0,0.0,https://twitchtracker.com/tftmercenaryplayer_
Feligamb77,272.0,13.4,334.0,3600.0,17275,42000.0,61700.0,0.0,https://twitchtracker.com/feligamb77
Mysticsquad_tv,280.0,11.3,6189.0,3200.0,17281,40.0,19500.0,0.0,https://twitchtracker.com/mysticsquad_tv
Sobatw,302.0,6.4,4323.0,1900.0,17283,133.0,71200.0,0.0,https://twitchtracker.com/sobatw
Squeed88,171.0,54.9,3754.0,9400.0,17288,59.0,17100.0,5370000.0,https://twitchtracker.com/squeed88
Imperiusgg,112.0,114.5,4181.0,12800.0,17289,91.0,50300.0,0.0,https://twitchtracker.com/imperiusgg
Jaciitv,79.0,186.0,3846.0,14700.0,17295,184.0,10700.0,0.0,https://twitchtracker.com/jaciitv
